"Time","t2shut::sans2d:status"
"12/03/2022, 08:26:59 PM",3
"12/03/2022, 08:27:43 PM",2
"12/03/2022, 08:46:59 PM",3
"12/03/2022, 08:47:35 PM",1
"12/04/2022, 08:12:03 AM",3
"12/04/2022, 08:12:38 AM",2
"12/04/2022, 09:22:33 AM",3
"12/04/2022, 09:23:05 AM",1
"12/04/2022, 09:46:34 AM",3
"12/04/2022, 09:47:08 AM",2
"12/04/2022, 10:45:22 AM",3
"12/04/2022, 10:45:57 AM",1
"12/04/2022, 11:10:45 AM",3
"12/04/2022, 11:11:26 AM",2
"12/04/2022, 12:28:02 PM",3
"12/04/2022, 12:28:41 PM",1
"12/04/2022, 01:35:25 PM",3
"12/04/2022, 01:36:07 PM",2
"12/04/2022, 01:49:33 PM",3
"12/04/2022, 01:50:05 PM",1
"12/04/2022, 07:37:24 PM",3
"12/04/2022, 07:38:07 PM",2
"12/04/2022, 07:50:40 PM",3
"12/04/2022, 07:51:13 PM",1
"12/04/2022, 11:04:52 PM",3
"12/04/2022, 11:05:35 PM",2
"12/04/2022, 11:23:13 PM",3
"12/04/2022, 11:23:48 PM",1
"12/05/2022, 09:07:21 AM",3
"12/05/2022, 09:08:02 AM",2
"12/05/2022, 11:03:09 AM",3
"12/05/2022, 11:03:45 AM",1
"12/05/2022, 12:10:36 PM",3
"12/05/2022, 12:11:20 PM",2
"12/05/2022, 02:19:53 PM",3
"12/05/2022, 02:20:22 PM",1
"12/05/2022, 05:46:17 PM",3
"12/05/2022, 05:47:00 PM",2
"12/05/2022, 05:52:48 PM",3
"12/05/2022, 05:53:24 PM",1
"12/06/2022, 03:30:52 PM",3
"12/06/2022, 03:31:35 PM",2
"12/06/2022, 03:59:26 PM",3
"12/06/2022, 03:59:58 PM",1
"12/06/2022, 05:24:49 PM",3
"12/06/2022, 05:25:32 PM",2
"12/06/2022, 05:28:28 PM",3
"12/06/2022, 05:28:58 PM",1
"12/06/2022, 10:02:30 PM",3
"12/06/2022, 10:03:14 PM",2
"12/06/2022, 10:12:26 PM",3
"12/06/2022, 10:13:02 PM",1
"12/07/2022, 09:57:29 AM",3
"12/07/2022, 09:58:05 AM",2
"12/07/2022, 10:05:29 AM",3
"12/07/2022, 10:05:59 AM",1
"12/07/2022, 10:09:24 AM",3
"12/07/2022, 10:10:05 AM",2
"12/07/2022, 10:15:42 AM",3
"12/07/2022, 10:16:21 AM",1
"12/07/2022, 12:33:00 PM",3
"12/07/2022, 12:33:43 PM",2
"12/07/2022, 12:58:22 PM",3
"12/07/2022, 12:58:57 PM",1
"12/07/2022, 03:37:08 PM",3
"12/07/2022, 03:37:47 PM",2
"12/07/2022, 03:41:17 PM",3
"12/07/2022, 03:41:52 PM",1
"12/07/2022, 04:50:14 PM",3
"12/07/2022, 04:50:56 PM",2
"12/07/2022, 04:56:15 PM",3
"12/07/2022, 04:56:49 PM",1
"12/07/2022, 06:10:41 PM",3
"12/07/2022, 06:11:24 PM",2
"12/07/2022, 06:14:45 PM",3
"12/07/2022, 06:15:17 PM",1
"12/07/2022, 07:37:11 PM",4
"12/07/2022, 07:37:14 PM",3
"12/07/2022, 07:37:55 PM",2
"12/07/2022, 08:04:02 PM",3
"12/07/2022, 08:04:37 PM",1
"12/08/2022, 12:26:31 AM",3
"12/08/2022, 12:27:08 AM",2
"12/08/2022, 12:41:30 AM",3
"12/08/2022, 12:42:07 AM",1
"12/08/2022, 11:25:26 AM",3
"12/08/2022, 11:26:10 AM",2
"12/08/2022, 11:33:04 AM",3
"12/08/2022, 11:33:41 AM",1
"12/08/2022, 12:40:37 PM",3
"12/08/2022, 12:41:20 PM",2
"12/08/2022, 12:45:19 PM",3
"12/08/2022, 12:45:55 PM",1
"12/08/2022, 01:57:20 PM",3
"12/08/2022, 01:57:55 PM",2
"12/08/2022, 01:59:24 PM",3
"12/08/2022, 02:00:02 PM",1
"12/08/2022, 03:06:20 PM",3
"12/08/2022, 03:07:02 PM",2
"12/08/2022, 03:12:15 PM",3
"12/08/2022, 03:12:48 PM",1
"12/08/2022, 04:26:12 PM",3
"12/08/2022, 04:26:49 PM",2
"12/08/2022, 04:27:45 PM",3
"12/08/2022, 04:28:22 PM",1
"12/08/2022, 05:36:59 PM",3
"12/08/2022, 05:37:35 PM",2
"12/08/2022, 05:44:58 PM",3
"12/08/2022, 05:45:31 PM",1
"12/08/2022, 06:52:37 PM",3
"12/08/2022, 06:53:12 PM",2
"12/08/2022, 07:04:47 PM",3
"12/08/2022, 07:05:22 PM",1
"12/08/2022, 10:28:15 PM",3
"12/08/2022, 10:29:00 PM",2
"12/08/2022, 10:31:40 PM",3
"12/08/2022, 10:32:15 PM",1
"12/09/2022, 12:12:35 AM",4
"12/09/2022, 12:12:37 AM",3
"12/09/2022, 12:13:12 AM",2
"12/09/2022, 12:23:43 AM",3
"12/09/2022, 12:24:17 AM",1
"12/09/2022, 10:26:09 AM",3
"12/09/2022, 10:26:51 AM",2
"12/09/2022, 10:30:04 AM",3
"12/09/2022, 10:30:44 AM",1
"12/09/2022, 11:45:05 AM",3
"12/09/2022, 11:45:50 AM",2
"12/09/2022, 11:46:50 AM",3
"12/09/2022, 11:47:29 AM",1
"12/09/2022, 01:01:10 PM",3
"12/09/2022, 01:01:48 PM",2
"12/09/2022, 01:04:02 PM",3
"12/09/2022, 01:04:42 PM",1
"12/09/2022, 02:10:54 PM",3
"12/09/2022, 02:11:31 PM",2
"12/09/2022, 02:20:48 PM",3
"12/09/2022, 02:21:18 PM",1
"12/09/2022, 03:32:17 PM",3
"12/09/2022, 03:32:57 PM",2
"12/09/2022, 03:34:37 PM",3
"12/09/2022, 03:35:15 PM",1
"12/09/2022, 04:50:30 PM",3
"12/09/2022, 04:51:11 PM",2
"12/09/2022, 04:52:03 PM",3
"12/09/2022, 04:52:41 PM",1
"12/09/2022, 06:07:41 PM",3
"12/09/2022, 06:08:26 PM",2
"12/09/2022, 06:12:14 PM",3
"12/09/2022, 06:12:51 PM",1
"12/09/2022, 07:18:38 PM",3
"12/09/2022, 07:19:14 PM",2
"12/09/2022, 07:27:18 PM",3
"12/09/2022, 07:27:55 PM",1
"12/09/2022, 09:39:58 PM",3
"12/09/2022, 09:40:41 PM",2
"12/09/2022, 09:42:34 PM",3
"12/09/2022, 09:43:06 PM",1
"12/09/2022, 11:06:27 PM",3
"12/09/2022, 11:07:11 PM",2
"12/09/2022, 11:11:20 PM",3
"12/09/2022, 11:11:56 PM",1
"12/10/2022, 12:18:27 AM",3
"12/10/2022, 12:19:12 AM",2
"12/10/2022, 12:27:44 AM",3
"12/10/2022, 12:28:13 AM",1
"12/10/2022, 08:55:48 AM",3
"12/10/2022, 08:56:33 AM",2
"12/10/2022, 09:25:30 AM",3
"12/10/2022, 09:26:04 AM",1
"12/10/2022, 02:21:12 PM",3
"12/10/2022, 02:21:55 PM",2
"12/10/2022, 02:25:09 PM",3
"12/10/2022, 02:25:45 PM",1
"12/10/2022, 04:28:18 PM",3
"12/10/2022, 04:28:53 PM",2
"12/10/2022, 04:29:52 PM",3
"12/10/2022, 04:30:28 PM",1
"12/10/2022, 05:27:30 PM",3
"12/10/2022, 05:28:14 PM",2
"12/10/2022, 05:29:55 PM",3
"12/10/2022, 05:30:31 PM",1
"12/10/2022, 07:00:46 PM",3
"12/10/2022, 07:01:27 PM",2
"12/10/2022, 07:02:40 PM",3
"12/10/2022, 07:03:19 PM",1
"12/10/2022, 07:49:47 PM",3
"12/10/2022, 07:50:31 PM",2
"12/10/2022, 07:51:50 PM",3
"12/10/2022, 07:52:28 PM",1
"12/10/2022, 09:54:36 PM",3
"12/10/2022, 09:55:19 PM",2
"12/10/2022, 09:58:59 PM",3
"12/10/2022, 09:59:34 PM",1
"12/11/2022, 09:47:35 AM",3
"12/11/2022, 09:48:20 AM",2
"12/11/2022, 09:51:55 AM",3
"12/11/2022, 09:52:31 AM",1
"12/11/2022, 10:59:40 AM",3
"12/11/2022, 11:00:26 AM",2
"12/11/2022, 11:03:22 AM",3
"12/11/2022, 11:04:00 AM",1
"12/11/2022, 12:03:15 PM",3
"12/11/2022, 12:03:49 PM",2
"12/11/2022, 12:07:01 PM",3
"12/11/2022, 12:07:41 PM",1
"12/11/2022, 02:23:05 PM",3
"12/11/2022, 02:23:40 PM",2
"12/11/2022, 02:41:53 PM",3
"12/11/2022, 02:42:31 PM",1
"12/11/2022, 06:28:37 PM",3
"12/11/2022, 06:29:20 PM",2
"12/11/2022, 06:31:48 PM",3
"12/11/2022, 06:32:20 PM",1
"12/11/2022, 09:16:12 PM",3
"12/11/2022, 09:16:53 PM",2
"12/11/2022, 09:17:51 PM",3
"12/11/2022, 09:18:30 PM",1
"12/11/2022, 09:57:05 PM",3
"12/11/2022, 09:57:41 PM",2
"12/11/2022, 09:59:26 PM",3
"12/11/2022, 10:00:03 PM",1
"12/12/2022, 08:43:41 AM",4
"12/12/2022, 08:43:43 AM",3
"12/12/2022, 08:44:26 AM",2
"12/12/2022, 02:33:26 PM",3
"12/12/2022, 02:34:03 PM",1
"12/13/2022, 08:14:51 AM",3
"12/13/2022, 08:15:26 AM",2
"12/13/2022, 08:19:06 AM",3
"12/13/2022, 08:19:43 AM",1
"12/13/2022, 09:44:27 AM",3
"12/13/2022, 09:45:09 AM",2
"12/13/2022, 09:51:15 AM",3
"12/13/2022, 09:51:47 AM",1
"12/13/2022, 09:57:49 AM",3
"12/13/2022, 09:58:29 AM",2
"12/13/2022, 10:05:09 AM",3
"12/13/2022, 10:05:44 AM",1
"12/13/2022, 04:16:45 PM",3
"12/13/2022, 04:17:27 PM",2
"12/13/2022, 04:25:05 PM",3
"12/13/2022, 04:25:43 PM",1
"12/13/2022, 05:42:43 PM",3
"12/13/2022, 05:43:24 PM",2
"12/13/2022, 05:53:12 PM",3
"12/13/2022, 05:53:49 PM",1
"12/13/2022, 07:46:04 PM",3
"12/13/2022, 07:46:48 PM",2
"12/13/2022, 07:57:38 PM",3
"12/13/2022, 07:58:10 PM",1
"12/14/2022, 10:35:51 AM",3
"12/14/2022, 10:36:33 AM",2
"12/14/2022, 10:38:45 AM",3
"12/14/2022, 10:39:17 AM",1
"12/14/2022, 07:09:39 PM",3
"12/14/2022, 07:10:15 PM",2
"12/14/2022, 07:15:10 PM",3
"12/14/2022, 07:15:48 PM",1
"12/15/2022, 08:21:49 AM",1
"12/15/2022, 05:32:19 PM",3
"12/15/2022, 05:33:04 PM",2
"12/15/2022, 05:36:40 PM",3
"12/15/2022, 05:37:12 PM",1
"12/15/2022, 08:56:17 PM",3
"12/15/2022, 08:56:53 PM",2
"12/15/2022, 09:00:28 PM",3
"12/15/2022, 09:00:59 PM",1
"12/15/2022, 09:45:31 PM",3
"12/15/2022, 09:46:12 PM",2
"12/15/2022, 09:47:29 PM",3
"12/15/2022, 09:48:03 PM",1
