"Time","t2shut::e6:status"
"11/28/2022, 05:41:19 PM",3
"11/28/2022, 05:41:50 PM",1
"11/28/2022, 06:50:38 PM",3
"11/28/2022, 06:51:16 PM",2
"11/29/2022, 11:17:22 AM",3
"11/29/2022, 11:17:51 AM",1
"11/29/2022, 03:31:34 PM",3
"11/29/2022, 03:32:10 PM",2
"11/29/2022, 03:36:31 PM",3
"11/29/2022, 03:37:00 PM",1
"11/29/2022, 03:50:03 PM",3
"11/29/2022, 03:50:38 PM",2
"11/29/2022, 04:22:51 PM",3
"11/29/2022, 04:23:21 PM",1
"11/30/2022, 11:20:38 AM",3
"11/30/2022, 11:21:07 AM",2
"11/30/2022, 11:39:50 AM",3
"11/30/2022, 11:40:15 AM",1
"11/30/2022, 12:30:30 PM",3
"11/30/2022, 12:31:06 PM",2
"11/30/2022, 12:35:34 PM",3
"11/30/2022, 12:36:06 PM",1
"11/30/2022, 01:45:31 PM",3
"11/30/2022, 01:46:10 PM",2
"11/30/2022, 01:47:31 PM",3
"11/30/2022, 01:48:02 PM",1
"11/30/2022, 04:51:12 PM",3
"11/30/2022, 04:51:49 PM",2
"11/30/2022, 04:58:46 PM",3
"11/30/2022, 04:59:17 PM",1
"12/01/2022, 09:48:44 AM",3
"12/01/2022, 09:49:23 AM",2
"12/01/2022, 09:57:40 AM",3
"12/01/2022, 09:58:08 AM",1
"12/01/2022, 01:37:16 PM",3
"12/01/2022, 01:37:42 PM",2
"12/01/2022, 01:39:05 PM",3
"12/01/2022, 01:39:35 PM",1
"12/01/2022, 06:37:38 PM",3
"12/01/2022, 06:38:14 PM",2
"12/01/2022, 06:48:10 PM",3
"12/01/2022, 06:48:41 PM",1
"12/01/2022, 08:19:43 PM",3
"12/01/2022, 08:20:21 PM",2
"12/01/2022, 08:23:49 PM",3
"12/01/2022, 08:24:20 PM",1
"12/02/2022, 07:56:52 AM",3
"12/02/2022, 07:57:21 AM",2
"12/02/2022, 09:24:04 AM",3
"12/02/2022, 09:24:35 AM",1
"12/02/2022, 09:29:12 AM",3
"12/02/2022, 09:29:42 AM",2
"12/02/2022, 09:33:32 AM",3
"12/02/2022, 09:34:03 AM",1
"12/02/2022, 09:58:15 AM",3
"12/02/2022, 09:58:46 AM",2
"12/02/2022, 10:01:19 AM",3
"12/02/2022, 10:01:49 AM",1
"12/02/2022, 10:11:48 AM",3
"12/02/2022, 10:12:27 AM",2
"12/02/2022, 10:39:11 AM",3
"12/02/2022, 10:39:39 AM",1
"12/02/2022, 02:09:28 PM",3
"12/02/2022, 02:10:03 PM",2
"12/02/2022, 02:12:37 PM",3
"12/02/2022, 02:13:06 PM",1
"12/02/2022, 04:59:30 PM",3
"12/02/2022, 05:00:07 PM",2
"12/02/2022, 05:03:01 PM",3
"12/02/2022, 05:03:31 PM",1
"12/02/2022, 05:56:43 PM",3
"12/02/2022, 05:57:22 PM",2
"12/02/2022, 06:14:01 PM",3
"12/02/2022, 06:14:33 PM",1
"12/03/2022, 07:57:44 AM",3
"12/03/2022, 07:58:21 AM",2
"12/03/2022, 08:15:08 AM",3
"12/03/2022, 08:15:40 AM",1
"12/03/2022, 11:23:30 AM",3
"12/03/2022, 11:24:08 AM",2
"12/03/2022, 11:31:06 AM",3
"12/03/2022, 11:31:37 AM",1
"12/03/2022, 02:21:25 PM",3
"12/03/2022, 02:22:02 PM",2
"12/03/2022, 02:40:00 PM",3
"12/03/2022, 02:40:30 PM",1
"12/03/2022, 04:22:19 PM",3
"12/03/2022, 04:22:56 PM",2
"12/03/2022, 04:27:13 PM",3
"12/03/2022, 04:27:43 PM",1
"12/03/2022, 08:18:38 PM",3
"12/03/2022, 08:19:15 PM",2
"12/03/2022, 09:14:09 PM",3
"12/03/2022, 09:14:38 PM",1
"12/04/2022, 10:14:40 AM",3
"12/04/2022, 10:15:17 AM",2
"12/04/2022, 10:18:53 AM",3
"12/04/2022, 10:19:23 AM",1
"12/05/2022, 08:59:28 AM",3
"12/05/2022, 09:00:07 AM",2
"12/05/2022, 09:52:33 AM",3
"12/05/2022, 09:53:05 AM",1
"12/05/2022, 10:16:57 AM",3
"12/05/2022, 10:17:35 AM",2
"12/05/2022, 10:19:29 AM",3
"12/05/2022, 10:20:00 AM",1
"12/05/2022, 10:30:37 AM",3
"12/05/2022, 10:31:15 AM",2
"12/05/2022, 10:52:44 AM",3
"12/05/2022, 10:53:12 AM",1
"12/05/2022, 11:06:49 AM",3
"12/05/2022, 11:07:25 AM",2
"12/05/2022, 11:15:30 AM",3
"12/05/2022, 11:15:59 AM",1
"12/05/2022, 03:29:11 PM",4
"12/05/2022, 03:29:13 PM",3
"12/05/2022, 03:29:50 PM",2
"12/05/2022, 03:39:44 PM",3
"12/05/2022, 03:40:14 PM",1
"12/05/2022, 06:45:10 PM",3
"12/05/2022, 06:45:39 PM",2
"12/05/2022, 07:06:01 PM",3
"12/05/2022, 07:06:30 PM",1
"12/05/2022, 07:08:43 PM",3
"12/05/2022, 07:09:20 PM",2
"12/05/2022, 07:10:31 PM",3
"12/05/2022, 07:10:59 PM",1
"12/06/2022, 10:35:15 AM",3
"12/06/2022, 10:35:53 AM",2
"12/06/2022, 10:53:08 AM",3
"12/06/2022, 10:53:38 AM",1
"12/06/2022, 11:13:10 AM",3
"12/06/2022, 11:13:47 AM",2
"12/06/2022, 11:18:35 AM",3
"12/06/2022, 11:19:03 AM",1
"12/06/2022, 09:21:43 PM",3
"12/06/2022, 09:22:17 PM",2
"12/06/2022, 10:19:27 PM",3
"12/06/2022, 10:19:56 PM",1
"12/06/2022, 10:34:02 PM",3
"12/06/2022, 10:34:40 PM",2
"12/06/2022, 10:36:05 PM",3
"12/06/2022, 10:36:34 PM",1
"12/07/2022, 10:37:02 AM",3
"12/07/2022, 10:37:39 AM",2
"12/07/2022, 11:28:32 AM",3
"12/07/2022, 11:29:04 AM",1
"12/07/2022, 08:43:56 PM",3
"12/07/2022, 08:44:34 PM",2
"12/07/2022, 09:35:07 PM",3
"12/07/2022, 09:35:39 PM",1
"12/08/2022, 02:51:31 PM",3
"12/08/2022, 02:52:11 PM",2
"12/08/2022, 04:22:08 PM",3
"12/08/2022, 04:22:39 PM",1
"12/09/2022, 08:10:40 AM",3
"12/09/2022, 08:11:09 AM",2
"12/09/2022, 08:48:57 AM",3
"12/09/2022, 08:49:28 AM",1
"12/09/2022, 10:14:38 AM",3
"12/09/2022, 10:15:08 AM",2
"12/09/2022, 10:31:02 AM",3
"12/09/2022, 10:31:32 AM",1
"12/09/2022, 10:56:21 AM",3
"12/09/2022, 10:56:57 AM",2
"12/09/2022, 11:12:07 AM",3
"12/09/2022, 11:12:37 AM",1
"12/09/2022, 02:04:12 PM",3
