"Time","t2shut::e1:status"
"12/01/2022, 01:27:49 PM",3
"12/01/2022, 01:28:04 PM",2
"12/01/2022, 01:30:11 PM",3
"12/01/2022, 01:30:45 PM",1
"12/01/2022, 01:48:48 PM",3
"12/01/2022, 01:49:02 PM",2
"12/01/2022, 01:56:07 PM",3
"12/01/2022, 01:56:46 PM",1
"12/01/2022, 03:29:16 PM",3
"12/01/2022, 03:29:31 PM",2
"12/01/2022, 03:41:38 PM",3
"12/01/2022, 03:42:15 PM",1
"12/01/2022, 07:12:45 PM",3
"12/01/2022, 07:12:59 PM",2
"12/01/2022, 07:13:42 PM",3
"12/01/2022, 07:14:17 PM",1
"12/01/2022, 07:14:22 PM",3
"12/01/2022, 07:14:35 PM",2
"12/01/2022, 07:26:46 PM",3
"12/01/2022, 07:27:21 PM",1
"12/02/2022, 11:30:26 AM",3
"12/02/2022, 11:30:42 AM",2
"12/02/2022, 11:35:35 AM",3
"12/02/2022, 11:36:16 AM",1
"12/02/2022, 04:52:11 PM",3
"12/02/2022, 04:52:25 PM",2
"12/02/2022, 04:55:36 PM",3
"12/02/2022, 04:56:10 PM",1
"12/02/2022, 07:31:38 PM",3
"12/02/2022, 07:31:51 PM",2
"12/02/2022, 07:45:41 PM",3
"12/02/2022, 07:46:20 PM",1
"12/03/2022, 09:36:17 AM",3
"12/03/2022, 09:36:31 AM",2
"12/03/2022, 10:25:12 AM",3
"12/03/2022, 10:25:46 AM",1
"12/03/2022, 09:33:45 PM",3
"12/03/2022, 09:33:59 PM",2
"12/03/2022, 10:34:37 PM",3
"12/03/2022, 10:35:12 PM",1
"12/04/2022, 02:39:19 AM",4
"12/04/2022, 02:39:22 AM",1
"12/04/2022, 12:00:28 PM",3
"12/04/2022, 12:00:44 PM",2
"12/04/2022, 12:05:42 PM",3
"12/04/2022, 12:06:18 PM",1
"12/04/2022, 12:06:25 PM",3
"12/04/2022, 12:06:41 PM",2
"12/04/2022, 12:16:22 PM",3
"12/04/2022, 12:16:57 PM",1
"12/04/2022, 09:36:48 PM",3
"12/04/2022, 09:37:04 PM",2
"12/04/2022, 09:42:06 PM",3
"12/04/2022, 09:42:42 PM",1
"12/05/2022, 09:02:03 AM",3
"12/05/2022, 09:02:19 AM",2
"12/05/2022, 11:12:54 AM",3
"12/05/2022, 11:13:29 AM",1
"12/05/2022, 11:18:09 AM",3
"12/05/2022, 11:18:28 AM",2
"12/05/2022, 11:20:00 AM",3
"12/05/2022, 11:20:36 AM",1
"12/05/2022, 12:08:26 PM",3
"12/05/2022, 12:08:39 PM",2
"12/05/2022, 12:13:04 PM",3
"12/05/2022, 12:13:41 PM",1
"12/05/2022, 12:58:40 PM",3
"12/05/2022, 12:58:55 PM",2
"12/05/2022, 01:00:28 PM",3
"12/05/2022, 01:01:03 PM",1
"12/05/2022, 01:12:49 PM",3
"12/05/2022, 01:13:02 PM",2
"12/05/2022, 02:00:09 PM",3
"12/05/2022, 02:00:44 PM",1
"12/05/2022, 02:14:58 PM",3
"12/05/2022, 02:15:13 PM",2
"12/05/2022, 02:19:38 PM",3
"12/05/2022, 02:20:13 PM",1
"12/05/2022, 02:24:36 PM",3
"12/05/2022, 02:24:51 PM",2
"12/05/2022, 02:27:53 PM",3
"12/05/2022, 02:28:28 PM",1
"12/05/2022, 02:37:42 PM",3
"12/05/2022, 02:37:57 PM",2
"12/05/2022, 02:54:53 PM",3
"12/05/2022, 02:55:30 PM",1
"12/05/2022, 04:25:55 PM",3
"12/05/2022, 04:26:06 PM",2
"12/05/2022, 04:27:13 PM",3
"12/05/2022, 04:27:51 PM",1
"12/05/2022, 05:47:39 PM",3
"12/05/2022, 05:47:54 PM",2
"12/05/2022, 06:02:26 PM",3
"12/05/2022, 06:03:01 PM",1
"12/05/2022, 06:06:36 PM",3
"12/05/2022, 06:06:52 PM",2
"12/05/2022, 06:26:04 PM",3
"12/05/2022, 06:26:42 PM",1
"12/06/2022, 08:42:03 AM",3
"12/06/2022, 08:42:17 AM",2
"12/06/2022, 09:28:25 AM",3
"12/06/2022, 09:29:01 AM",1
"12/06/2022, 01:10:58 PM",3
"12/06/2022, 01:11:13 PM",2
"12/06/2022, 03:11:55 PM",3
"12/06/2022, 03:12:32 PM",1
"12/06/2022, 05:20:26 PM",3
"12/06/2022, 05:20:39 PM",2
"12/06/2022, 05:22:35 PM",3
"12/06/2022, 05:23:11 PM",1
"12/06/2022, 07:09:29 PM",3
"12/06/2022, 07:09:45 PM",2
"12/06/2022, 07:20:22 PM",3
"12/06/2022, 07:20:58 PM",1
"12/06/2022, 09:43:32 PM",3
"12/06/2022, 09:43:45 PM",2
"12/06/2022, 10:07:33 PM",3
"12/06/2022, 10:08:11 PM",1
"12/06/2022, 11:42:53 PM",3
"12/06/2022, 11:43:07 PM",2
"12/06/2022, 11:47:56 PM",3
