"Time","t2shut::w5:status"
"12/04/2022, 05:12:39 PM",3
"12/04/2022, 05:13:15 PM",1
"12/05/2022, 04:03:05 AM",3
"12/05/2022, 04:03:33 AM",2
"12/05/2022, 04:15:03 AM",3
"12/05/2022, 04:15:43 AM",1
"12/05/2022, 08:27:24 AM",3
"12/05/2022, 08:27:52 AM",2
"12/05/2022, 10:36:15 AM",3
"12/05/2022, 10:36:52 AM",1
"12/05/2022, 11:10:39 AM",4
"12/05/2022, 11:10:41 AM",3
"12/05/2022, 11:11:07 AM",2
"12/05/2022, 11:52:03 AM",3
"12/05/2022, 11:52:40 AM",1
"12/05/2022, 12:11:24 PM",3
"12/05/2022, 12:11:51 PM",2
"12/05/2022, 12:22:40 PM",3
"12/05/2022, 12:23:17 PM",1
"12/05/2022, 04:12:55 PM",3
"12/05/2022, 04:13:23 PM",2
"12/05/2022, 04:21:10 PM",3
"12/05/2022, 04:21:47 PM",1
"12/05/2022, 05:01:02 PM",3
"12/05/2022, 05:01:29 PM",2
"12/05/2022, 05:23:08 PM",3
"12/05/2022, 05:23:46 PM",1
"12/05/2022, 05:56:33 PM",3
"12/05/2022, 05:56:59 PM",2
"12/05/2022, 06:06:05 PM",3
"12/05/2022, 06:06:43 PM",1
"12/05/2022, 06:40:46 PM",4
"12/05/2022, 06:40:48 PM",3
"12/05/2022, 06:41:16 PM",2
"12/05/2022, 06:48:11 PM",3
"12/05/2022, 06:48:48 PM",1
"12/06/2022, 11:23:19 AM",3
"12/06/2022, 11:23:48 AM",2
"12/06/2022, 11:32:23 AM",3
"12/06/2022, 11:33:03 AM",1
"12/06/2022, 11:57:30 AM",3
"12/06/2022, 11:57:56 AM",2
"12/06/2022, 11:58:01 AM",3
"12/06/2022, 11:58:38 AM",1
"12/06/2022, 12:06:20 PM",3
"12/06/2022, 12:06:45 PM",2
"12/06/2022, 12:29:02 PM",3
"12/06/2022, 12:29:39 PM",1
"12/07/2022, 10:01:42 AM",3
"12/07/2022, 10:02:09 AM",2
"12/07/2022, 10:45:41 AM",3
"12/07/2022, 10:46:19 AM",1
"12/08/2022, 09:27:25 AM",3
"12/08/2022, 09:27:53 AM",2
"12/08/2022, 09:41:55 AM",3
"12/08/2022, 09:42:32 AM",1
"12/08/2022, 02:03:25 PM",3
"12/08/2022, 02:03:53 PM",2
"12/08/2022, 02:17:44 PM",3
"12/08/2022, 02:18:21 PM",1
"12/08/2022, 05:46:41 PM",3
"12/08/2022, 05:47:10 PM",2
"12/08/2022, 08:06:36 PM",3
"12/08/2022, 08:07:11 PM",1
"12/09/2022, 09:22:18 AM",3
"12/09/2022, 09:22:47 AM",2
"12/09/2022, 11:08:34 AM",3
"12/09/2022, 11:09:07 AM",1
"12/09/2022, 11:12:07 AM",3
"12/09/2022, 11:12:37 AM",2
"12/09/2022, 11:31:21 AM",3
"12/09/2022, 11:32:03 AM",1
"12/09/2022, 02:20:56 PM",4
"12/09/2022, 02:21:00 PM",3
"12/09/2022, 02:21:27 PM",2
"12/09/2022, 02:22:50 PM",3
"12/09/2022, 02:23:26 PM",1
"12/09/2022, 03:41:16 PM",3
"12/09/2022, 03:41:39 PM",2
"12/09/2022, 03:43:30 PM",3
"12/09/2022, 03:44:16 PM",1
"12/09/2022, 04:24:31 PM",3
"12/09/2022, 04:24:55 PM",2
"12/09/2022, 04:34:36 PM",3
"12/09/2022, 04:35:14 PM",1
"12/09/2022, 05:19:33 PM",3
"12/09/2022, 05:19:55 PM",2
"12/09/2022, 05:23:38 PM",3
"12/09/2022, 05:24:16 PM",1
"12/12/2022, 10:02:51 AM",3
"12/12/2022, 10:03:20 AM",2
"12/12/2022, 02:28:53 PM",3
"12/12/2022, 02:29:30 PM",1
"12/13/2022, 11:27:43 AM",3
"12/13/2022, 11:28:11 AM",2
"12/13/2022, 11:39:09 AM",3
"12/13/2022, 11:39:48 AM",1
"12/13/2022, 01:30:54 PM",3
"12/13/2022, 01:31:21 PM",2
"12/13/2022, 01:33:51 PM",3
"12/13/2022, 01:34:30 PM",1
"12/13/2022, 02:48:30 PM",3
"12/13/2022, 02:48:57 PM",2
"12/13/2022, 02:50:50 PM",3
"12/13/2022, 02:51:28 PM",1
"12/13/2022, 03:44:14 PM",3
"12/13/2022, 03:44:40 PM",2
"12/13/2022, 03:46:38 PM",3
"12/13/2022, 03:47:16 PM",1
"12/13/2022, 04:24:37 PM",3
"12/13/2022, 04:25:05 PM",2
"12/13/2022, 04:26:57 PM",3
"12/13/2022, 04:27:36 PM",1
"12/13/2022, 05:04:19 PM",3
"12/13/2022, 05:04:41 PM",2
"12/13/2022, 05:07:47 PM",3
"12/13/2022, 05:08:25 PM",1
"12/14/2022, 09:06:51 AM",3
"12/14/2022, 09:07:19 AM",2
"12/14/2022, 10:55:15 AM",3
"12/14/2022, 10:55:51 AM",1
"12/15/2022, 08:21:49 AM",1
"12/15/2022, 08:33:27 AM",4
"12/15/2022, 08:33:29 AM",3
"12/15/2022, 08:33:57 AM",2
"12/15/2022, 10:15:33 AM",3
"12/15/2022, 10:16:10 AM",1
"12/15/2022, 11:28:08 AM",3
"12/15/2022, 11:28:36 AM",2
"12/15/2022, 11:42:01 AM",3
"12/15/2022, 11:42:37 AM",1
"12/15/2022, 06:51:57 PM",3
"12/15/2022, 06:52:24 PM",2
"12/15/2022, 07:10:15 PM",3
"12/15/2022, 07:10:52 PM",1
"12/16/2022, 10:44:53 AM",3
"12/16/2022, 10:45:21 AM",2

