"Time","t2shut::nimrod:status"
"12/12/2022, 09:20:23 PM",2
"12/12/2022, 09:33:02 PM",3
"12/12/2022, 09:33:37 PM",1
"12/13/2022, 08:16:27 PM",3
"12/13/2022, 08:16:49 PM",2
"12/13/2022, 08:27:34 PM",3
"12/13/2022, 08:28:09 PM",1
"12/13/2022, 10:34:02 PM",3
"12/13/2022, 10:34:24 PM",2
"12/13/2022, 10:47:09 PM",3
"12/13/2022, 10:47:43 PM",1
"12/14/2022, 07:17:07 PM",3
"12/14/2022, 07:17:27 PM",2
"12/14/2022, 09:04:23 PM",3
"12/14/2022, 09:04:58 PM",1
"12/15/2022, 08:21:49 AM",1
"12/15/2022, 10:52:25 AM",3
"12/15/2022, 10:52:45 AM",2
"12/15/2022, 11:02:35 AM",3
"12/15/2022, 11:03:10 AM",1
"12/15/2022, 04:47:07 PM",3
"12/15/2022, 04:47:27 PM",2
"12/15/2022, 05:06:51 PM",3
"12/15/2022, 05:07:23 PM",1
"12/16/2022, 10:27:44 AM",3
"12/16/2022, 10:28:06 AM",2

